,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,RA_yes,BR_yes,TS_yes,HZ_yes,DZ_yes
0,84,52,68,51,57,0, 3,-,-,0.00,29.18,29.82,2.7,25,9.6,0,0,0,0,0
1,60,43,52,42,47,13, 0,-,-,0.00,29.44,30.08,13.3,2,13.4,0,1,0,1,0
2,67,48,58,40,50,7, 0,-,-,0.00,29.46,30.12,12.9,6,13.2,0,0,0,1,0
3,78,51,,42,50,,,-,-,0.00,29.36,30.04,10.1,7,10.4,0,0,0,0,0
4,66,54,60,39,50,5, 0,-,-,0.005,29.46,30.09,11.2,7,11.5,0,0,0,0,0
5,68,52,60,30,46,5, 0,-,-,0.00,29.62,30.28,13.8,10,14.5,0,0,0,0,0
6,84,50,67,39,53,0, 2,-,-,0.00,29.44,30.12,8.5,17,9.9,0,0,0,0,0
7,80,60,70,57,63,0, 5,-,-,0.005,29.36,30.02,2.5,8,5.4,0,0,0,1,0
8,76,63,70,60,63,0, 5,-,-,0.02,29.28,29.93,3.9,7,5.9,0,1,0,1,0
9,83,59,71,52,61,0, 6,-,-,0.00,29.26,29.91,2.0,9,3.9,0,1,0,1,0
10,73,49,61,44,51,4, 0,-,-,0.00,29.39,30.03,11.7,36,12.8,0,0,0,0,0
11,65,47,56,37,46,9, 0,-,-,0.00,29.54,30.19,12.7,1,13.0,0,0,0,0,0
12,69,44,57,32,46,8, 0,-,-,0.00,29.55,30.24,6.4,11,7.6,0,0,0,0,0
13,90,54,72,45,58,0, 7,-,-,0.00,29.31,29.98,14.1,21,14.6,0,0,0,0,0
14,82,56,69,56,61,0, 4,-,-,0.60,29.19,29.83,8.1,25,10.8,1,1,1,0,0
15,64,45,55,42,47,10, 0,-,-,0.07,29.39,30.03,8.0,36,11.8,1,1,0,0,0
16,61,44,53,32,43,12, 0,-,-,0.00,29.62,30.27,11.7,1,12.2,0,0,0,0,0
17,70,43,57,31,47,8, 0,-,-,0.00,29.60,30.26,3.4,22,5.5,0,0,0,0,0
18,80,56,68,37,53,0, 3,-,-,0.00,29.41,30.08,11.1,23,11.4,0,0,0,0,0
19,69,44,57,41,45,8, 0,-,-,0.11,29.44,30.11,8.6,3,9.7,1,0,1,0,0
20,79,46,63,50,57,2, 0,-,-,0.00,29.39,30.05,6.3,10,7.8,0,0,0,0,0
21,87,60,74,44,58,0, 9,-,-,0.00,29.41,30.05,10.1,16,10.6,0,0,0,0,0
22,89,66,78,48,61,0,13,-,-,0.00,29.47,30.10,10.9,18,11.2,0,0,0,0,0
23,88,66,77,53,63,0,12,-,-,0.005,29.47,30.10,13.8,20,15.2,1,0,0,1,0
24,66,57,62,46,53,3, 0,-,-,0.09,29.57,30.23,4.5,5,8.2,1,1,0,0,0
25,70,50,60,55,57,5, 0,-,-,0.28,29.42,30.10,2.5,15,7.8,1,1,1,0,0
26,75,59,67,49,57,0, 2,-,-,0.08,29.41,30.05,8.2,24,9.2,1,1,0,0,0
27,76,54,65,49,57,0, 0,-,-,0.00,29.49,30.14,4.7,8,5.2,0,0,0,0,0
28,88,65,77,59,66,0,12,-,-,0.00,29.44,30.09,5.8,16,7.4,0,1,0,1,0
29,89,70,80,57,66,0,15,-,-,0.00,29.38,30.03,9.7,17,10.1,0,0,0,1,0
30,80,68,74,61,66,0, 9,-,-,0.53,29.34,29.99,8.9,18,9.2,1,1,0,0,0
31,86,67,77,63,67,0,12,-,-,0.21,29.25,29.90,4.7,16,5.8,1,1,1,1,0
32,81,68,75,62,67,0,10,-,-,0.005,29.10,29.76,7.5,21,8.2,1,1,0,0,0
33,77,64,71,60,64,0, 6,-,-,0.32,28.87,29.54,4.9,24,7.2,1,1,1,1,0
34,72,56,64,57,60,1, 0,-,-,0.31,28.88,29.51,7.9,30,10.1,1,1,0,0,0
35,63,51,57,47,52,8, 0,-,-,0.27,29.16,29.78,6.2,3,8.1,1,1,0,0,0
36,73,48,61,47,55,4, 0,-,-,0.005,29.13,29.82,9.6,15,10.6,1,0,0,0,0
37,92,71,82,61,68,0,17,-,-,0.00,28.91,29.55,20.3,19,20.7,0,0,0,0,0
38,81,63,72,54,62,0, 7,-,-,0.00,29.24,29.83,9.3,26,12.4,0,0,0,0,0
39,79,57,68,49,58,0, 3,-,-,0.00,29.42,30.05,2.4,19,4.7,0,0,0,0,0
40,81,61,71,50,60,0, 6,-,-,0.00,29.39,30.04,4.6,16,5.8,0,0,0,0,0
41,85,65,75,51,61,0,10,-,-,0.00,29.47,30.09,6.6,9,8.4,0,0,0,0,0
42,82,66,74,51,61,0, 9,-,-,0.00,29.49,30.14,9.4,5,10.0,0,0,0,0,0
43,86,68,77,53,62,0,12,-,-,0.00,,,7.0,5,,0,0,0,0,0
44,89,68,79,54,63,0,14,-,-,0.00,29.36,30.00,5.9,7,6.4,0,0,0,0,0
45,89,67,78,56,65,0,13,-,-,0.00,29.34,29.97,3.8,9,4.1,0,0,0,0,0
46,92,68,80,61,68,0,15,-,-,0.005,29.33,29.96,2.1,22,6.1,0,0,0,1,0
47,91,71,81,65,70,0,16,-,-,0.16,29.28,29.93,4.0,11,6.1,0,0,0,1,0
48,89,73,81,65,70,0,16,-,-,0.02,29.19,29.83,12.2,20,12.6,1,0,1,1,0
49,81,65,73,55,63,0, 8,-,-,0.93,29.31,29.93,10.1,29,11.3,1,1,0,0,0
50,85,62,74,50,61,0, 9,-,-,0.00,29.46,30.09,5.9,28,7.7,0,0,0,0,0
51,80,66,73,51,61,0, 8,-,-,0.005,29.41,30.06,3.7,2,9.6,1,0,0,0,0
52,75,62,69,49,58,0, 4,-,-,0.005,29.39,30.05,6.5,7,8.1,1,0,0,0,0
53,68,61,65,60,62,0, 0,-,-,0.34,29.28,29.95,7.3,11,8.1,1,1,0,0,0
54,75,65,70,62,65,0, 5,-,-,0.00,29.33,29.96,5.6,10,6.0,0,1,0,1,0
55,86,67,77,67,70,0,12,-,-,0.00,29.44,30.06,4.0,12,5.9,0,1,0,1,0
56,91,73,82,69,72,0,17,-,-,0.005,29.45,30.09,7.3,21,8.1,0,1,0,1,0
57,89,71,80,69,72,0,15,-,-,0.35,29.36,30.00,7.9,24,8.5,1,1,1,0,0
58,73,61,67,56,61,0, 2,-,-,,29.43,30.07,12.2,2,13.3,0,0,0,0,0
59,71,56,64,56,60,1, 0,-,-,,29.47,30.11,7.4,2,8.2,0,0,0,0,0
60,77,58,68,49,58,0, 3,-,-,0.00,29.46,30.11,5.1,4,6.2,0,0,0,0,0
61,76,61,69,51,59,0, 4,-,-,0.00,29.56,30.21,9.5,4,9.7,0,0,0,0,0
62,77,58,68,50,59,0, 3,-,-,0.00,29.55,30.21,7.4,12,8.5,0,0,0,0,0
63,83,63,73,56,63,0, 8,-,-,0.09,29.38,30.05,6.4,21,7.4,1,0,1,0,0
64,84,67,76,65,69,0,11,-,-,0.66,29.23,29.88,3.1,25,8.8,1,0,1,1,0
65,88,70,79,60,67,0,14,-,-,0.00,29.29,29.92,4.3,33,6.9,0,1,0,0,0
66,84,68,76,57,65,0,11,-,-,0.00,29.38,30.01,3.3,7,5.5,0,0,0,0,0
67,88,68,78,62,68,0,13,-,-,0.00,29.24,29.90,7.4,23,8.1,0,0,0,0,0
68,93,75,84,67,72,0,19,-,-,0.00,29.12,29.76,12.6,23,12.7,0,0,0,0,0
69,93,72,83,67,71,0,18,-,-,0.24,29.16,29.79,4.8,23,8.8,1,0,0,0,0
70,89,70,80,67,71,0,15,-,-,0.08,29.13,29.76,8.2,23,10.2,1,0,1,1,0
71,77,63,70,51,59,0, 5,-,-,0.00,29.28,29.92,9.1,30,11.2,0,0,0,0,0
72,80,60,70,51,60,0, 5,-,-,0.00,29.28,29.92,10.0,28,11.4,0,0,1,0,0
73,74,59,67,53,59,0, 2,-,-,0.00,29.33,29.98,2.0,7,5.8,0,0,0,0,0
74,85,62,74,55,62,0, 9,-,-,0.00,29.14,29.79,8.4,25,13.9,0,0,0,0,0
75,80,64,72,52,61,0, 7,-,-,0.00,29.25,29.88,1.2,9,6.5,0,0,0,0,0
76,82,66,74,60,65,0, 9,-,-,0.07,29.31,29.94,5.6,23,6.6,1,0,1,0,0
77,83,69,76,65,69,0,11,-,-,0.11,29.24,29.89,6.3,23,7.4,1,1,0,0,0
78,85,69,77,69,71,0,12,-,-,0.92,29.18,29.83,10.3,24,10.6,1,1,1,1,0
79,82,63,73,62,66,0, 8,-,-,0.01,29.26,29.88,7.7,36,14.4,0,1,0,1,0
80,74,62,68,52,59,0, 3,-,-,0.00,29.49,30.12,11.3,4,11.5,0,0,0,0,0
81,75,58,67,52,59,0, 2,-,-,0.00,29.57,30.21,5.8,4,7.4,0,0,0,0,0
82,81,61,71,54,61,0, 6,-,-,0.00,29.54,30.20,1.9,18,3.5,0,0,0,0,0
83,82,63,73,55,63,0, 8,-,-,0.00,29.42,30.09,2.9,12,3.9,0,0,0,0,0
84,82,65,74,57,64,0, 9,-,-,0.005,29.38,30.03,1.1,21,4.9,0,0,0,0,0
85,83,70,77,60,66,0,12,-,-,0.00,29.35,29.99,6.4,23,7.0,0,0,0,0,0
86,84,64,74,65,68,0, 9,-,-,0.89,29.25,29.91,7.2,22,9.9,1,1,1,1,0
87,83,70,77,67,70,0,12,-,-,0.04,29.16,29.80,1.2,36,8.1,1,1,0,1,0
88,80,70,75,65,68,0,10,-,-,0.00,29.28,29.91,10.6,3,10.7,0,1,0,1,0
89,85,67,76,56,64,0,11,-,-,0.00,29.34,29.97,6.3,5,6.9,0,0,0,0,0
90,86,65,76,57,65,0,11,-,-,0.00,29.39,30.01,3.1,6,4.6,0,0,0,0,0
91,89,69,79,60,68,0,14,-,-,0.00,29.39,30.02,4.0,7,5.0,0,0,0,0,0
92,91,69,80,63,70,0,15,-,-,0.00,29.34,29.98,2.1,13,3.7,0,0,0,0,0
93,91,73,82,66,72,0,17,-,-,0.00,29.31,29.95,6.5,23,7.2,0,0,0,0,0
94,88,73,81,58,67,0,16,-,-,0.00,29.36,30.00,3.3,6,5.8,0,0,0,0,0
95,81,68,75,58,65,0,10,-,-,0.02,29.36,30.01,5.9,9,6.6,1,0,0,0,0
96,88,68,78,71,72,0,13,-,-,0.97,29.15,29.79,7.0,22,10.2,1,1,1,0,0
97,85,75,80,72,74,0,15,-,-,0.05,29.17,29.81,2.6,10,4.6,1,1,1,1,0
98,92,73,83,73,76,0,18,-,-,0.06,29.11,29.74,6.3,24,8.8,0,0,1,0,0
99,87,74,81,72,74,0,16,-,-,0.09,29.18,29.81,1.5,4,6.4,1,1,1,1,1
100,85,73,79,71,73,0,14,-,-,0.46,29.19,29.82,3.1,27,6.3,1,1,1,1,0
101,86,73,80,69,72,0,15,-,-,0.00,29.32,29.94,3.0,6,5.4,0,0,0,0,0
102,88,68,78,65,70,0,13,-,-,0.00,29.38,30.00,3.1,20,3.9,0,1,0,1,0
103,87,68,78,67,70,0,13,-,-,0.23,29.40,30.04,1.9,6,6.6,1,0,1,0,0
104,80,69,75,54,63,0,10,-,-,0.00,29.44,30.08,6.9,8,7.7,0,0,0,0,0
105,84,65,75,66,69,0,10,-,-,0.45,29.29,29.92,6.4,23,9.0,1,1,1,0,0
106,81,72,77,69,71,0,12,-,-,0.83,29.23,29.87,4.9,6,7.1,1,1,1,0,0
107,77,67,72,65,68,0, 7,-,-,0.00,29.33,29.95,3.5,1,5.7,0,1,0,0,0
108,80,65,73,54,62,0, 8,-,-,0.00,29.46,30.08,6.1,31,7.4,0,0,0,0,0
109,69,60,65,54,58,0, 0,-,-,0.42,29.48,30.15,6.1,13,7.0,1,0,0,0,0
110,69,62,66,63,64,0, 1,-,-,1.33,29.30,29.98,5.5,10,7.5,1,1,1,0,0
111,76,68,72,69,70,0, 7,-,-,0.48,29.21,29.85,2.4,20,5.9,1,1,1,1,0
112,85,69,77,70,72,0,12,-,-,0.01,29.26,29.89,3.5,17,6.0,0,1,0,0,0
113,90,70,80,70,73,0,15,-,-,0.88,29.29,29.93,5.1,21,8.4,1,1,1,0,0
114,89,70,80,69,71,0,15,-,-,1.96,29.21,29.86,6.7,21,9.1,1,1,1,0,0
115,81,69,75,67,69,0,10,-,-,0.20,29.16,29.81,5.5,25,7.3,1,1,1,0,0
116,76,65,71,63,66,0, 6,-,-,0.25,29.29,29.91,2.4,3,6.4,1,1,0,0,0
117,78,61,70,55,62,0, 5,-,-,0.00,29.44,30.07,3.7,11,4.6,0,0,0,0,0
118,79,63,71,59,64,0, 6,-,-,0.00,29.41,30.06,6.4,16,7.3,0,0,0,0,0
119,90,69,80,65,70,0,15,-,-,0.00,29.34,29.98,7.8,21,8.3,0,0,0,0,0
120,86,69,78,64,69,0,13,-,-,0.005,29.39,30.02,5.3,3,8.8,0,0,0,0,0
121,75,60,68,54,61,0, 3,-,-,0.00,29.51,30.15,10.8,3,10.9,0,0,0,0,0
122,76,57,67,54,60,0, 2,-,-,0.00,29.52,30.17,3.0,6,4.6,0,0,0,0,0
123,79,60,70,56,62,0, 5,-,-,0.00,29.54,30.20,4.4,11,4.4,0,0,0,0,0
124,84,62,73,56,63,0, 8,-,-,0.00,29.47,30.13,4.8,21,6.0,0,0,0,0,0
125,88,64,76,61,67,0,11,-,-,0.00,29.42,30.07,3.0,25,6.2,0,0,0,0,0
126,90,67,79,59,67,0,14,-,-,0.00,29.34,29.99,2.2,24,5.0,0,0,0,0,0
127,91,72,82,62,69,0,17,-,-,0.00,29.31,29.94,6.4,19,6.7,0,0,0,0,0
128,84,74,79,66,70,0,14,-,-,0.08,29.27,29.91,12.8,20,13.0,1,0,1,1,0
129,84,71,78,67,70,0,13,-,-,0.67,29.21,29.84,9.5,23,13.0,1,1,1,1,0
130,78,68,73,58,64,0, 8,-,-,0.00,29.34,29.98,8.4,5,9.4,0,0,0,0,0
131,79,63,71,59,64,0, 6,-,-,0.00,29.41,30.03,10.1,3,10.9,0,0,0,0,0
132,73,55,64,59,62,1, 0,-,-,0.25,29.34,30.01,7.4,3,9.7,1,0,0,0,0
